song_id,song_name,artist_name,artist_id,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,song_code
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,2017-04-14,87,0.908,0.621,1.0,-6.638,0.0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000.0,4.0,aa
7gaA3wERFkFkgivjwbSvkG,"yes, and?",Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,2024-01-12,94,,,,,,,,,,,,,,bb
0lizgQ7Qw35od7CYaoMBZb,Santa Tell Me,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,2014-11-24,92,0.525,0.621,7.0,-7.364,1.0,0.116,0.0489,0.0,0.294,0.591,191.9,204093.0,4.0,cc
4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,2023-03-14,85,0.575,0.5,1.0,-7.594,0.0,0.0707,0.227,0.0,0.335,0.506,67.033,232857.0,4.0,aa
78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),Lil Baby,5f7VJjfbwm532GiveGC0ZK,2018-10-05,86,0.897,0.662,1.0,-6.903,0.0,0.292,0.0852,0.0,0.534,0.389,112.511,145543.0,4.0,bb
5BbdKBZO0TH0GhfxUfyhL9,Freestyle,Lil Baby,5f7VJjfbwm532GiveGC0ZK,2017-12-01,85,0.877,0.517,2.0,-5.426,0.0,0.0706,0.217,0.0,0.143,0.255,119.996,162053.0,4.0,cc
577YBGuskWkVDCxZrLRB4v,Pure Cocaine,Lil Baby,5f7VJjfbwm532GiveGC0ZK,2018-11-30,84,0.964,0.487,10.0,-6.071,0.0,0.421,0.00127,6.57e-06,0.115,0.107,127.05,154024.0,4.0,aa
0SlpFHdk4UHBDzCEoXzy14,Stop Crying Your Heart Out,Oasis,2DaxqgrOhkeH0fpeiQq2f4,2002-07-01,68,0.331,0.558,2.0,-5.506,1.0,0.031,0.0689,1.96e-06,0.124,0.0985,150.19,303120.0,4.0,bb
4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,2018-12-10,88,0.671,0.529,0.0,-7.226,1.0,0.307,0.0769,0.000335,0.0856,0.203,161.989,165820.0,4.0,cc
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,2018-12-10,87,0.511,0.566,6.0,-7.23,0.0,0.2,0.349,0.0,0.34,0.218,83.903,239836.0,4.0,aa
4qmG24ebshLXtKu9HIShBP,Lace It (with Eminem & benny blanco),Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,2023-12-16,85,0.773,0.597,2.0,-7.138,1.0,0.309,0.194,0.0,0.22,0.305,160.101,217527.0,4.0,bb
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,1977-02-04,88,0.828,0.492,0.0,-9.744,1.0,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800.0,4.0,cc
5e9TFTbltYBg2xThimr0rU,The Chain - 2004 Remaster,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,1977-02-04,85,0.545,0.67,9.0,-8.81,1.0,0.0496,0.009,0.000822,0.0451,0.481,151.553,270213.0,4.0,aa
254bXAqt3zP6P50BdQvEsq,Everywhere - 2017 Remaster,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,1987-04-13,84,0.73,0.487,4.0,-10.991,1.0,0.0303,0.258,0.01,0.0852,0.731,114.965,226653.0,4.0,bb
56y1jOTK0XSvJzVv9vHQBK,Paint The Town Red,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,2023-09-20,88,0.864,0.556,2.0,-7.683,0.0,0.194,0.255,3.85e-06,0.112,0.726,99.974,230480.0,4.0,cc
5PyDJG7SQRgWXefgexqIge,Agora Hills,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,2023-09-20,86,0.755,0.687,8.0,-6.247,0.0,0.101,0.183,0.000177,0.125,0.381,123.01,265360.0,4.0,aa
6x9pCndnXEoea0CMcfjs9W,n.h.i.e.,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,2024-01-12,86,,,,,,,,,,,,,,bb
