,artist,song_name,song_id,release_date,release_date_precision,popularity
128,RAYE,Escapism. - Sped Up,3XCpS4k8WqNnCpcDOSRRuz,2022-12-07,day,79
129,Lady Gaga,Poker Face,1QV6tiMFM6fSOKOGLMHYYg,2008-01-01,day,84
130,Lady Gaga,Shallow,2VxeLyX666F8uXCJ0dZF8B,2018-10-05,day,86
131,Lady Gaga,Bad Romance,0SiywuOBRcynK0uKGWdCnn,2009-11-05,day,87
132,Elton John,Cold Heart - PNAU Remix,6JIC3hbC28JZKZ8AlAqX8h,2021-10-22,day,84
133,Elton John,I'm Still Standing,1jDJFeK9x3OZboIAHsY9k2,1983-05-30,day,87
134,Elton John,Merry Christmas,3bH2Eu9A9ymI4UnGHRmoXg,2021-12-03,day,86
135,Queen,Don't Stop Me Now - Remastered 2011,5T8EDUDqKcs6OSOwEsfqG7,1978-11-10,day,86
136,Queen,Bohemian Rhapsody - Remastered 2011,4u7EnebtmKWzUH433cf5Qv,1975-11-21,day,84
137,Queen,Another One Bites The Dust - Remastered 2011,5vdp5UmvTsnMEMESIF2Ym7,1980-06-27,day,85
138,Nicki Minaj,FTCU,1a73gcEg6h6Re6hHXoVltJ,2023-12-08,day,90
139,Nicki Minaj,Everybody (feat. Lil Uzi Vert),5ZJGv7aGdIr9IGpxzSG18T,2023-12-08,day,88
140,Nicki Minaj,Beauty And A Beat,2S5NuP68ckFRvC0qMd7dVR,2020-05-22,day,65
141,Bruno Mars,Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh,2012-12-07,day,91
142,Bruno Mars,Just the Way You Are,47Slg6LuqLaX0VodpSCvPt,2010-10-05,day,83
143,Bruno Mars,When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,2012-12-07,day,90
144,P!nk,Just Give Me a Reason (feat. Nate Ruess),1mKXFLRA179hdOWQBwUk9e,2012-09-18,day,85
145,P!nk,Raise Your Glass,1gv4xPanImH17bKZ9rOveR,2010-10-05,day,81
146,P!nk,TRUSTFALL,1gUwi1o1S9W9P0FQgJdY8s,2023-02-17,day,75
147,Imagine Dragons,Demons,5qaEfEh1AtSdrdrByCP7qR,2012-09-04,day,88
148,Imagine Dragons,Believer,0pqnGHJpmpxLKifKRmU6WP,2017-06-23,day,90
149,Imagine Dragons,Bones,54ipXppHLA8U4yqpOFTUhr,2022-07-01,day,87
150,Mrs. GREEN APPLE,ケセラセラ,0teqQ0PYqVDyyXJuPOyMhu,2023-07-04,day,77
151,Mrs. GREEN APPLE,ダンスホール,5LkmpgQYtwHtuvASgnLBe1,2023-12-01,day,52
152,Mrs. GREEN APPLE,インフェルノ,2vOAHp8PBBFYqvQUWSoITY,2019-10-01,day,75
153,Vaundy,Kaiju no Hanauta,1pCcNaCodPssCc8Aq68gPS,2020-05-27,day,60
154,Vaundy,踊り子,1YXot2MLAG9sttepCtBRM7,2023-11-15,day,75
155,Vaundy,Fukakoryoku,6WT1tWfxUQREmEwzc4TRMV,2020-05-27,day,58
156,YOASOBI,アイドル,1hAloWiinXLPQUJxrJReb1,2023-10-04,day,80
157,YOASOBI,勇者,0YTM7bCx451c6LQbkddy4Q,2023-10-04,day,77
158,YOASOBI,夜に駆ける,6MCjmGYlw6mQVWRFVgBRvB,2021-01-06,day,77
159,back number,水平線,3RvdkNMcSy71m0aT6UF9Uf,2023-01-17,day,74
160,back number,HAPPY BIRTHDAY,4FMz2RFrbDGzJO7K4D0vS3,2019-03-27,day,75
161,back number,アイラブユー,34ayWAUrQcrjlKZOJAzqke,2023-01-17,day,73
162,OFFICIAL HIGE DANDISM,Subtitle,4zrKPIygugUDKGFEjVwpSB,2022-10-12,day,60
163,OFFICIAL HIGE DANDISM,SOULSOUP,1JrxwbZ9u0VNwemdcJwZNi,2023-12-13,day,62
164,OFFICIAL HIGE DANDISM,Tattoo,6wffxmLgeZTbvS1hYvLkht,2023-04-21,day,59
165,BTS,Left and Right (Feat. Jung Kook of BTS),5Odq8ohlgIbQKMZivbWkEo,2022-10-06,day,83
166,BTS,My Universe,46HNZY1i7O6jwTA7Slo2PI,2021-10-15,day,80
167,BTS,Dynamite,5QDLhrAOJJdNAmCTJ8xMyW,2020-11-20,day,83
168,Yuuri,ベテルギウス,4JK1kDUdH9RTBQrrSO1QfR,2022-01-12,day,75
169,Yuuri,ビリミリオン,7M0dIdZWN1FDcveRdoOzbZ,2023-03-29,day,75
170,Yuuri,ドライフラワー,4kPlQKwtPrnqLgrmmKFSlA,2022-01-12,day,74
171,Kenshi Yonezu,KICK BACK,3khEEPRyBeOUabbmOPJzAG,2022-10-12,day,81
172,Kenshi Yonezu,地球儀 - Spinning Globe,6x7SB38tuekpu4xpH9OIPY,2023-07-17,day,74
173,Kenshi Yonezu,Lemon,04TshWXkhV1qkqHzf31Hn6,2020-08-05,day,72
174,Aimyon,Marigold,5NqGfELjcdvRIUuhgZJ34W,2019-02-13,day,58
175,Aimyon,ai no hana,2piySGAWgVwsRKm60SfOmF,2023-04-05,day,50
176,Aimyon,君はロックを聴かない,59eluCMn0XbOWqeWQ91FTM,2017-09-12,day,71
177,Ado,Show,1rDgAHDX95RmylxjgVW9tN,2023-09-06,day,75
178,Ado,New Genesis,6A8NfypDHuwiLWbo4a1yca,2022-08-10,day,70
179,Ado,Usseewa,61KYsWS25JXUO4fGb1138X,2022-01-26,day,71
180,TWICE,The Feels,308Ir17KlNdlrbVLHWhlLe,2021-11-12,day,77
181,TWICE,MOONLIGHT SUNRISE,5IN9W6eUfk3014My9awagX,2023-03-10,day,73
182,TWICE,What is Love,3zhbXKFjUDw40pTYyCgt1Y,2018-07-09,day,77
183,RADWIMPS,Suzume,1n1y2kFPISpF9WGD3JaFo5,2022-11-10,day,70
184,RADWIMPS,Dream lantern,5mEqD00bdFcsiVd0MfvEeF,2016-08-24,day,68
185,RADWIMPS,Sparkle - movie ver.,3A4FRzgve9BjfKbvVXRIFO,2016-08-24,day,69
186,King Gnu,SPECIALZ,0GWNtMohuYUEHVZ40tcnHF,2023-09-01,day,87
187,King Gnu,カメレオン,0J0P8iSE6l3pYHbUdNFYdS,2022-02-28,day,76
188,King Gnu,一途,7ncPjJBktLEOpstY5JOUMK,2021-12-10,day,74
189,NewJeans,Super Shy,5sdQOyqq2IDhvmx2lHOpwd,2023-07-07,day,90
190,NewJeans,OMG,65FftemJ1DbbZ45DUfHJXE,2023-01-02,day,87
191,NewJeans,Ditto,3r8RuvgbX9s7ammBn07D3W,2022-12-19,day,86
192,Macaroni Empitsu,なんでもないよ、,5W7Y92LB4jWvu9NeEQ0GZl,2022-01-12,day,74
193,Macaroni Empitsu,リンジュー・ラヴ,5N19AxnqLwLyi4DSgiJ0qV,2023-08-30,day,66
194,Macaroni Empitsu,恋人ごっこ,2SihT7AVMiI2VtaAyVIcnO,2020-04-01,day,68
195,ヨルシカ,ただ君に晴れ,3wJHCry960drNlAUGrJLmz,2018-05-09,day,77
196,ヨルシカ,晴る,5eY7692tmgHB9dbmq6wa2M,2024-01-05,day,74
197,ヨルシカ,だから僕は音楽を辞めた,5j7ixaLeGTGSv4DzKs0pCM,2019-04-10,day,73
198,Fujii Kaze,Shinunoga E-Wa,0o9zmvc5f3EFApU52PPIyW,2020-05-20,day,82
199,Fujii Kaze,Hana,02tNuntKQsoou5T4O8meyh,2023-10-12,day,66
200,Fujii Kaze,Matsuri,7AMGgAPFczs3wJgMqu6Eqi,2022-03-23,day,72
201,SPITZ,美しい鰭,1H3qOzheTPhE7aVvJOWfvA,2023-05-17,day,74
202,SPITZ,チェリー,1ihCiJaXRl4f6Sy4LJov5z,1996,year,68
203,SPITZ,ロビンソン,0sVnyL71jTOuMt9TZ59bws,1995,year,66
204,Stray Kids,LALALALA,1OG1NoKpZZLrMqMYCk9m84,2023-11-10,day,87
205,Stray Kids,S-Class,3gTQwwDNJ42CCLo3Sf4JDd,2023-06-02,day,81
206,Stray Kids,MEGAVERSE,5Q1tv4GTxP3IJeGMOKdrFO,2023-11-10,day,81
207,Saucy Dog,Cinderella Boy,4UALTBWz0OdQcjbTsjFceV,2021-08-25,day,52
208,Saucy Dog,Itsuka,37ZddqLVyF23NIg5I17SBd,2017-05-24,day,46
209,Saucy Dog,Yui,3f8WNy5rgXq7J74qjExRkb,2020-09-02,day,39
210,SEVENTEEN,Super,3AOf6YEpxQ894FmrwI9k96,2023-04-24,day,82
211,SEVENTEEN,God of Music,4MTNimMDRyFZv37Thcktwa,2023-10-23,day,80
